Id,Method,Pruning,k,Train_Score,Test_Score,Train_EVS,Test_EVS
0,dtr,0,9,0,-0.00087,1,-1.11935
1,dtr,0,10,0,-0.00019,1,-0.92615
2,dtr,0,11,0,-0.00176,0.99996,-0.47227
3,dtr,0,12,0,-0.00486,0.99993,-0.222
4,dtr,0,13,0,-0.00675,0.99995,0.03827
5,dtr,0,14,0,-0.00751,0.99998,0.08779
6,dtr,0,15,0,-0.00784,1,0.15676
7,dtr,0,16,0,-0.00819,1,0.2592
8,dtr,1,9,1,-1.17391,1,-1.17304
9,dtr,1,10,0.39916,-0.05787,0.39916,-0.05618
10,dtr,1,11,0.69331,-0.15098,0.69331,-0.14898
11,dtr,1,12,0.47627,0.31462,0.47627,0.3153
12,dtr,1,13,0.39097,0.46553,0.39097,0.46572
13,dtr,1,14,0.47032,0.53387,0.47032,0.53434
14,dtr,1,15,0.46053,0.50572,0.46053,0.50597
15,dtr,1,16,0.47089,0.49476,0.47089,0.49509
16,etr,0,9,0.68303,-0.76615,1,-1.17043
17,etr,0,10,0,-0.00019,1,-0.96443
18,etr,0,11,0,-0.00176,0.99996,-0.55854
19,etr,0,12,0.32842,0.40371,0.99993,-0.24671
20,etr,0,13,0,-0.00675,0.99995,-0.1842
21,etr,0,14,0,-0.00751,0.99998,0.14664
22,etr,0,15,0,-0.00784,0.99998,0.14264
23,etr,0,16,0,-0.00819,0.99751,0.28838
24,etr,1,9,1,-1.6087,1,-1.58696
25,etr,1,10,0.14387,0.17635,0.14387,0.17965
26,etr,1,11,0.42892,0.21753,0.42892,0.21889
27,etr,1,12,0.32842,0.40371,0.32842,0.40375
28,etr,1,13,0.39097,0.46553,0.39097,0.46572
29,etr,1,14,0.43449,0.49855,0.43449,0.49878
30,etr,1,15,0.46053,0.50572,0.46053,0.50597
31,etr,1,16,0.47089,0.49476,0.47089,0.49509
32,br,na,9,0.77123,-0.30707,0.77125,-0.30628
33,br,na,10,0.8048,-0.16472,0.80514,-0.16456
34,br,na,11,0.83402,0.03407,0.83408,0.03609
35,br,na,12,0.85083,0.27633,0.85084,0.27765
36,br,na,13,0.8619,0.35418,0.86193,0.35422
37,br,na,14,0.86385,0.47349,0.86392,0.47357
38,br,na,15,0.87723,0.4732,0.87723,0.4732
39,br,na,16,0.89582,0.55149,0.89645,0.5519
40,rfr,0,9,0.82438,-0.22389,0.82446,-0.22314
41,rfr,0,10,0.85253,-0.06256,0.85254,-0.06039
42,rfr,0,11,0.86514,0.14545,0.86524,0.14588
43,rfr,0,12,0.87275,0.31589,0.87276,0.31596
44,rfr,0,13,0.88953,0.42202,0.88957,0.42216
45,rfr,0,14,0.89803,0.47727,0.89805,0.47731
46,rfr,0,15,0.89926,0.52819,0.89938,0.52821
47,rfr,0,16,0.91756,0.55798,0.91759,0.55918
48,rfr,1,9,0.82185,-0.18904,0.82185,-0.18647
49,rfr,1,10,0.53435,0.03294,0.53449,0.03414
50,rfr,1,11,0.70116,0.18747,0.70153,0.18752
51,rfr,1,12,0.52981,0.40767,0.52985,0.4077
52,rfr,1,13,0.42034,0.47766,0.42039,0.47806
53,rfr,1,14,0.46747,0.52256,0.46749,0.52284
54,rfr,1,15,0.51719,0.56381,0.51729,0.56491
55,rfr,1,16,0.47082,0.4944,0.47087,0.49454
56,etsr,0,9,1,-0.39074,1,-0.38069
57,etsr,0,10,1,-0.25395,1,-0.24667
58,etsr,0,11,0.99996,0.05421,0.99996,0.05618
59,etsr,0,12,0.99993,0.2096,0.99993,0.21024
60,etsr,0,13,0.99995,0.33092,0.99995,0.3311
61,etsr,0,14,0.99998,0.40185,0.99998,0.40186
62,etsr,0,15,0.99999,0.46468,0.99999,0.46492
63,etsr,0,16,0.99986,0.54382,0.99986,0.54438
64,etsr,1,9,1,-0.4202,1,-0.41179
65,etsr,1,10,0.57206,0.06373,0.57206,0.06601
66,etsr,1,11,0.24913,0.31109,0.24913,0.31132
67,etsr,1,12,0.32842,0.40371,0.32842,0.40375
68,etsr,1,13,0.39097,0.46553,0.39097,0.46572
69,etsr,1,14,0.43449,0.49855,0.43449,0.49878
70,etsr,1,15,0.46053,0.50572,0.46053,0.50597
71,etsr,1,16,0.47089,0.49476,0.47089,0.49509
